Chr	Start	End	GeneID	Symbol	Description	Region	DistanceTSS	logFC	pValue	FDR	Direction
chr8	58105268	58105668	ENSMUSG00000031608	Galnt7	polypeptide N-acetylgalactosaminyltransferase 7	Promoter (<=1kb)	421	0.8215750780825659	8.764522570743001e-10	6.41124826049851e-07	treated
chr17	87415092	87415492	ENSMUSG00000037104	Socs5	suppressor of cytokine signaling 5	Promoter (<=1kb)	0	0.769708220367174	1.17038823258711e-09	8.15370468702353e-07	treated
chr7	45356025	45356425	ENSMUSG00000059824	Dbp	D site albumin promoter binding protein	Promoter (1-2kb)	1354	0.852729038606766	1.28252267908909e-09	8.497084601484292e-07	treated
chr3	40754400	40754800	ENSMUSG00000025758	Plk4	polo like kinase 4	Promoter (<=1kb)	14	0.6889885499177509	1.3358369503358803e-09	8.497084601484292e-07	treated
chr9	14187741	14188141	ENSMUSG00000032009	Sesn3	sestrin 3	Promoter (<=1kb)	144	0.8048832098642579	1.52563923635867e-09	9.300042511636391e-07	treated
chr9	44792092	44792492	ENSMUSG00000002028	Kmt2a	lysine (K)-specific methyltransferase 2A	Promoter (<=1kb)	95	0.7264195422912041	1.59048688429923e-09	9.307529246919099e-07	treated
chr17	48048028	48048428	ENSMUSG00000023990	Tfeb	transcription factor EB	Promoter (<=1kb)	66	0.787912639767684	1.85707232670918e-09	9.975209442695142e-07	treated
chr2	179761239	179761639	ENSMUSG00000039050	Osbpl2	oxysterol binding protein-like 2	Promoter (<=1kb)	140	0.7576177756982421	1.95014404286965e-09	9.975209442695142e-07	treated
chr5	136273432	136273832	ENSMUSG00000005057	Sh2b2	SH2B adaptor protein 2	Promoter (<=1kb)	0	0.738209213744667	1.9740268752222894e-09	9.975209442695142e-07	treated
chr7	121306370	121306770	ENSMUSG00000063317	Usp31	ubiquitin specific peptidase 31	Promoter (<=1kb)	0	0.786937786459484	1.9773142435964398e-09	9.975209442695142e-07	treated
chrX	84617513	84617913	ENSMUSG00000035476	Tab3	TGF-beta activated kinase 1/MAP3K7 binding protein 3	Promoter (<=1kb)	0	0.800402003661328	2.41284784476278e-09	1.17666546562932e-06	treated
chr1	72863695	72864095	ENSMUSG00000039323	Igfbp2	insulin-like growth factor binding protein 2	Promoter (<=1kb)	56	0.746842773058416	2.6755729667326303e-09	1.26269782268704e-06	treated
chr2	118379826	118380226	ENSMUSG00000040093	Bmf	BCL2 modifying factor	Promoter (<=1kb)	0	0.7193341477375509	3.03056979202031e-09	1.35244489776167e-06	treated
chr2	181100822	181101222	ENSMUSG00000027583	Zbtb46	zinc finger and BTB domain containing 46	Promoter (<=1kb)	0	0.753139322481945	3.0506275889361e-09	1.35244489776167e-06	treated
chr17	5542887	5543287	ENSMUSG00000034265	Zdhhc14	zinc finger, DHHC domain containing 14	Promoter (<=1kb)	12	0.7383782490258629	3.1564159287585603e-09	1.35818720699229e-06	treated
chr5	144902348	144902748	ENSMUSG00000038780	Smurf1	SMAD specific E3 ubiquitin protein ligase 1	Promoter (<=1kb)	0	0.752839755178558	3.79648072656384e-09	1.58692894370368e-06	treated
chr7	82515455	82515855	ENSMUSG00000057706	Mex3b	mex3 RNA binding family member B	Promoter (<=1kb)	-686	0.7818921289898839	4.02822844959765e-09	1.6370272838226002e-06	treated
chr3	51132419	51132819	ENSMUSG00000023087	Noct	nocturnin	Promoter (<=1kb)	551	0.872340461852586	4.29513544395983e-09	1.65877094411877e-06	treated
chr4	116321061	116321461	ENSMUSG00000003810	Mast2	microtubule associated serine/threonine kinase 2	Promoter (<=1kb)	0	0.8192018351155379	4.3084959587500395e-09	1.65877094411877e-06	treated
chr10	118704545	118704945	ENSMUSG00000028630	Dyrk2	dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 2	Promoter (<=1kb)	0	0.8376039933678571	4.58113211472656e-09	1.67554907096124e-06	treated
chr15	79325946	79326346	ENSMUSG00000022433	Csnk1e	casein kinase 1, epsilon	Promoter (<=1kb)	0	0.7347126036952479	4.72143918173995e-09	1.68474768850867e-06	treated
chr2	118732064	118732464	ENSMUSG00000040007	Bahd1	bromo adjacent homology domain containing 1	Promoter (<=1kb)	0	0.7627078415995799	5.081690552391189e-09	1.69802274334027e-06	treated
chr17	78725171	78725571	ENSMUSG00000056121	Fez2	fasciculation and elongation protein zeta 2 (zygin II)	Promoter (<=1kb)	10	0.7230836702330029	5.30401219557058e-09	1.69802274334027e-06	treated
chr17	32074408	32074808	ENSMUSG00000024042	Sik1	salt inducible kinase 1	Promoter (<=1kb)	0	0.7694674519257081	5.35018086710792e-09	1.69802274334027e-06	treated
chr8	12807003	12807403	ENSMUSG00000031441	Atp11a	ATPase, class VI, type 11A	Promoter (<=1kb)	0	1.1779575997165	5.38236692865806e-09	1.69802274334027e-06	treated
chr2	138098459	138098859	ENSMUSG00000062098	Btbd3	BTB (POZ) domain containing 3	Promoter (<=1kb)	0	0.691087898943301	5.61910788111449e-09	1.69802274334027e-06	treated
chr3	146110340	146110740	ENSMUSG00000036825	Ssx2ip	synovial sarcoma, X 2 interacting protein	Promoter (<=1kb)	0	0.671892040111184	5.85145281180972e-09	1.69802274334027e-06	treated
chr5	104607371	104607771	ENSMUSG00000034462	Pkd2	polycystin 2, transient receptor potential cation channel	Promoter (<=1kb)	48	0.786053046737473	5.960659442331479e-09	1.69802274334027e-06	treated
chr2	14060075	14060475	ENSMUSG00000063275	Hacd1	3-hydroxyacyl-CoA dehydratase 1	Promoter (<=1kb)	371	0.7922241128401869	5.965233084216689e-09	1.69802274334027e-06	treated
chr8	26505327	26505727	ENSMUSG00000015994	Fnta	farnesyltransferase, CAAX box, alpha	Promoter (<=1kb)	0	0.7375886787904219	6.08270361802394e-09	1.69802274334027e-06	treated
chr7	130467690	130468090	ENSMUSG00000040268	Plekha1	pleckstrin homology domain containing, family A (phosphoinositide binding specific) member 1	Promoter (<=1kb)	73	0.814564282748005	6.14618664618366e-09	1.69802274334027e-06	treated
chr10	122514787	122515187	ENSMUSG00000099225	Mir8104	microRNA 8104	Promoter (<=1kb)	-33	0.811365757795513	6.151415269790439e-09	1.69802274334027e-06	treated
chr2	33321029	33321429	ENSMUSG00000068966	Zbtb34	zinc finger and BTB domain containing 34	Promoter (<=1kb)	0	0.777338942582899	6.48157811988197e-09	1.75602755359025e-06	treated
chr9	96512984	96513384	ENSMUSG00000032413	Rasa2	RAS p21 protein activator 2	Promoter (<=1kb)	172	0.8047239198487071	7.055614808649659e-09	1.8767935391008098e-06	treated
chr4	148025251	148025651	ENSMUSG00000044496	2510039O18Rik	RIKEN cDNA 2510039O18 gene	Promoter (<=1kb)	0	0.7386962490666841	7.87576139444191e-09	2.05015701090616e-06	treated
chr10	80492022	80492422	ENSMUSG00000003344	Btbd2	BTB (POZ) domain containing 2	Promoter (<=1kb)	0	0.65979059653864	9.997168388798561e-09	2.4821307181022303e-06	treated
chr4	129271149	129271549	ENSMUSG00000028807	Zbtb8a	zinc finger and BTB domain containing 8a	Promoter (<=1kb)	272	0.6863751326804399	1.00099598337684e-08	2.4821307181022303e-06	treated
chr8	110432178	110432578	ENSMUSG00000031728	Zfp821	zinc finger protein 821	Promoter (<=1kb)	0	0.739266831972299	1.07703467581069e-08	2.62616955118508e-06	treated
chr1	88998006	88998406	ENSMUSG00000036206	Sh3bp4	SH3-domain binding protein 4	Promoter (<=1kb)	0	0.754759160061979	1.11321380509049e-08	2.6698881915531003e-06	treated
chr3	38538639	38539039	ENSMUSG00000044864	Ankrd50	ankyrin repeat domain 50	Promoter (<=1kb)	0	0.733757335205018	1.14732453884436e-08	2.70731580698274e-06	treated
chr15	76702041	76702441	ENSMUSG00000033697	Arhgap39	Rho GTPase activating protein 39	Promoter (<=1kb)	0	0.649354567252077	1.2497668609726698e-08	2.89241620994023e-06	treated
chr12	98867265	98867665	ENSMUSG00000051166	Eml5	echinoderm microtubule associated protein like 5	Promoter (<=1kb)	78	0.670581953758184	1.26530852656305e-08	2.89241620994023e-06	treated
chr5	127694044	127694444	ENSMUSG00000029416	Slc15a4	solute carrier family 15, member 4	Promoter (<=1kb)	12	0.7512458556410531	1.2943120005073402e-08	2.91319762575728e-06	treated
chr9	113760433	113760833	ENSMUSG00000009741	Ubp1	upstream binding protein 1	Promoter (<=1kb)	53	0.7873621209626679	1.3240126513483501e-08	2.9348947104888402e-06	treated
chr13	54225813	54226213	ENSMUSG00000021474	Sfxn1	sideroflexin 1	Promoter (<=1kb)	0	0.784872611382636	1.3913886950588e-08	3.03821143413586e-06	treated
chr15	90563548	90563948	ENSMUSG00000052560	Cpne8	copine VIII	Promoter (<=1kb)	0	0.960034639316487	1.4819908510163999e-08	3.18845972799557e-06	treated
chr7	138968969	138969369	ENSMUSG00000025477	Inpp5a	inositol polyphosphate-5-phosphatase A	Promoter (<=1kb)	0	0.721821910065397	1.51226131199758e-08	3.20643231804703e-06	treated
chr17	46694653	46695053	ENSMUSG00000015597	Zfp318	zinc finger protein 318	Promoter (<=1kb)	0	0.747533635423325	1.5800527403005202e-08	3.30231022722809e-06	treated
chr8	40760966	40761366	ENSMUSG00000098431	Mir7666	microRNA 7666	Promoter (<=1kb)	0	0.7046833040622109	1.6567588723388402e-08	3.41385666229819e-06	treated
chr8	117884867	117885267	ENSMUSG00000052557	Gan	giant axonal neuropathy	Promoter (<=1kb)	147	0.7664277922207969	1.68312163759355e-08	3.42000966083245e-06	treated
chr4	83404376	83404776	ENSMUSG00000028484	Psip1	PC4 and SFRS1 interacting protein 1	Promoter (<=1kb)	0	0.815407843292554	1.7377661601610802e-08	3.48267382508994e-06	treated
chr4	56864751	56865151	ENSMUSG00000038816	Ctnnal1	catenin (cadherin associated protein), alpha-like 1	Promoter (<=1kb)	60	0.695551880993103	1.85477427000343e-08	3.51311692460402e-06	treated
chr11	6425456	6425856	ENSMUSG00000094483	Purb	purine rich element binding protein B	Promoter (<=1kb)	220	0.8346138060477379	1.86060941452894e-08	3.51311692460402e-06	treated
chr5	96309159	96309559	ENSMUSG00000034724	Cnot6l	CCR4-NOT transcription complex, subunit 6-like	Promoter (<=1kb)	0	0.741686599635978	1.8697709833215e-08	3.51311692460402e-06	treated
chr11	3239872	3240272	ENSMUSG00000020453	Patz1	POZ (BTB) and AT hook containing zinc finger 1	Promoter (<=1kb)	-185	0.6631554073973671	1.87145930285791e-08	3.51311692460402e-06	treated
chr1	33758973	33759373	ENSMUSG00000004768	Rab23	RAB23, member RAS oncogene family	Promoter (<=1kb)	0	0.6620635305754	1.87302201038355e-08	3.51311692460402e-06	treated
chr18	25301902	25302302	ENSMUSG00000033632	AW554918	expressed sequence AW554918	Promoter (<=1kb)	0	0.7144273613249991	1.93879170834839e-08	3.5904459105236703e-06	treated
chr14	33168729	33169129	ENSMUSG00000021936	Mapk8	mitogen-activated protein kinase 8	Promoter (<=1kb)	0	0.808166336522311	1.9793423230999397e-08	3.60223562733835e-06	treated
chr5	104058706	104059106	ENSMUSG00000029312	Klhl8	kelch-like 8	Promoter (<=1kb)	19	0.6601891361860389	2.0869450036667902e-08	3.67278065352511e-06	treated
chr10	94350729	94351129	ENSMUSG00000020023	Tmcc3	transmembrane and coiled coil domains 3	Promoter (<=1kb)	10	0.767051366941979	2.09250485413634e-08	3.67278065352511e-06	treated
chr8	61677100	61677500	ENSMUSG00000031642	Sh3rf1	SH3 domain containing ring finger 1	Promoter (<=1kb)	0	0.6848642633499991	2.14022913155816e-08	3.67278065352511e-06	treated
chr16	95993138	95993538	ENSMUSG00000045275	Lca5l	Leber congenital amaurosis 5-like	Promoter (<=1kb)	0	0.726855941913329	2.17892202389065e-08	3.67278065352511e-06	treated
chr14	99283194	99283594	ENSMUSG00000033186	Mzt1	mitotic spindle organizing protein 1	Promoter (<=1kb)	0	0.708265435279035	2.18991214710078e-08	3.67278065352511e-06	treated
chr3	127689650	127690050	ENSMUSG00000050549	Fam241a	family with sequence similarity 241, member A	Promoter (<=1kb)	0	0.797665954911641	2.1963455398536598e-08	3.67278065352511e-06	treated
chr4	131776089	131776489	ENSMUSG00000028906	Epb41	erythrocyte membrane protein band 4.1	Promoter (<=1kb)	0	0.7319457245134839	2.22409215355483e-08	3.67278065352511e-06	treated
chr6	121277571	121277971	ENSMUSG00000030108	Slc6a13	solute carrier family 6 (neurotransmitter transporter, GABA), member 13	Promoter (<=1kb)	0	-1.08076687106444	2.23429581793393e-08	3.67278065352511e-06	control
chr5	146731314	146731714	ENSMUSG00000029640	Usp12	ubiquitin specific peptidase 12	Promoter (<=1kb)	52	0.7319135898920619	2.26595676983133e-08	3.68343861584803e-06	treated
chr2	31031628	31032028	ENSMUSG00000075415	Fnbp1	formin binding protein 1	Promoter (<=1kb)	0	0.719488584247261	2.35872749636129e-08	3.74631993978201e-06	treated
chr10	69932934	69933334	ENSMUSG00000048701	Ccdc6	coiled-coil domain containing 6	Promoter (<=1kb)	0	0.7844594418132008	2.3814610690343598e-08	3.74631993978201e-06	treated
chr4	59626138	59626538	ENSMUSG00000045071	E130308A19Rik	RIKEN cDNA E130308A19 gene	Promoter (<=1kb)	0	0.7184404929658951	2.46011220715245e-08	3.82887676496173e-06	treated
chr1	87781007	87781407	ENSMUSG00000070738	Dgkd	diacylglycerol kinase, delta	Promoter (<=1kb)	0	0.6816221260369539	2.4869025663504903e-08	3.82982995217975e-06	treated
chr11	104359793	104360193	ENSMUSG00000018412	Kansl1	KAT8 regulatory NSL complex subunit 1	Promoter (<=1kb)	76	0.7812448898106441	2.57542006456633e-08	3.92483286922973e-06	treated
chr4	120262513	120262913	ENSMUSG00000000085	Scmh1	sex comb on midleg homolog 1	Promoter (<=1kb)	0	0.7760528047620631	2.6260830794063902e-08	3.96078303625933e-06	treated
chr5	76331699	76332099	ENSMUSG00000029234	Tmem165	transmembrane protein 165	Promoter (<=1kb)	0	0.735339368664899	2.8865921888772593e-08	4.30926976768105e-06	treated
chr11	79036942	79037342	ENSMUSG00000018334	Ksr1	kinase suppressor of ras 1	Promoter (<=1kb)	0	0.638418543432735	2.9615041192050696e-08	4.3764449761586e-06	treated
chr5	38718602	38719002	ENSMUSG00000005103	Wdr1	WD repeat domain 1	Promoter (<=1kb)	40	0.6828701699763929	3.1226802544252e-08	4.5232487249743304e-06	treated
chr5	144191981	144192381	ENSMUSG00000047843	Bri3	brain protein I3	Promoter (<=1kb)	0	0.8030101866718	3.154211074171971e-08	4.524128236778029e-06	treated
chr15	88747526	88747926	ENSMUSG00000035828	Pim3	proviral integration site 3	Promoter (1-2kb)	1129	0.8079761042779592	3.21129400023756e-08	4.5466376049490795e-06	treated
chr16	92262706	92263106	ENSMUSG00000022951	Rcan1	regulator of calcineurin 1	Promoter (<=1kb)	0	0.6900829269533489	3.26892161299367e-08	4.5466376049490795e-06	treated
chr4	134580293	134580693	ENSMUSG00000028826	Maco1	macoilin 1	Promoter (<=1kb)	0	0.725508711188667	3.28839984812581e-08	4.5466376049490795e-06	treated
chr6	8209346	8209746	ENSMUSG00000042447	Mios	meiosis regulator for oocyte development	Promoter (<=1kb)	119	0.7069503424694592	3.2942145326357e-08	4.5466376049490795e-06	treated
chr5	142615256	142615656	ENSMUSG00000029578	Wipi2	WD repeat domain, phosphoinositide interacting 2	Promoter (<=1kb)	0	0.6966000086643299	3.46295561246129e-08	4.734863608440059e-06	treated
chr16	33504858	33505258	ENSMUSG00000075254	Heg1	heart development protein with EGF-like domains 1	Promoter (<=1kb)	22	0.663762709341448	3.5923609000337406e-08	4.86631851550867e-06	treated
chr7	16044298	16044698	ENSMUSG00000002083	Bbc3	BCL2 binding component 3	Promoter (<=1kb)	0	0.7599159296726509	3.6572095205392e-08	4.87996218928215e-06	treated
chr5	76288037	76288437	ENSMUSG00000029233	Srd5a3	steroid 5 alpha-reductase 3	Promoter (<=1kb)	0	0.6618680357193311	3.73573663756299e-08	4.87996218928215e-06	treated
chr2	39080410	39080810	ENSMUSG00000035236	Scai	suppressor of cancer cell invasion	Promoter (<=1kb)	0	0.683451385354134	3.75337764476201e-08	4.87996218928215e-06	treated
chr1	54965125	54965525	ENSMUSG00000052331	Ankrd44	ankyrin repeat domain 44	Promoter (<=1kb)	21	0.6870796709853579	3.7762485528217995e-08	4.87996218928215e-06	treated
chr12	98225227	98225627	ENSMUSG00000021003	Galc	galactosylceramidase	Promoter (<=1kb)	91	0.6480180836107211	3.83311708313545e-08	4.87996218928215e-06	treated
chr5	144037117	144037517	ENSMUSG00000038970	Lmtk2	lemur tyrosine kinase 2	Promoter (<=1kb)	0	0.741424213597682	3.88275559372129e-08	4.87996218928215e-06	treated
chr2	102016382	102016782	ENSMUSG00000048058	Ldlrad3	low density lipoprotein receptor class A domain containing 3	Promoter (<=1kb)	23	0.677708078177644	3.90203240091503e-08	4.87996218928215e-06	treated
chr3	9316179	9316579	ENSMUSG00000069114	Zbtb10	zinc finger and BTB domain containing 10	Promoter (<=1kb)	552	0.8013325856250251	3.90263551706091e-08	4.87996218928215e-06	treated
chr1	160806831	160807231	ENSMUSG00000026715	Serpinc1	serine (or cysteine) peptidase inhibitor, clade C (antithrombin), member 1	Promoter (<=1kb)	678	-1.3772463125280703	4.04155319862356e-08	5.0108409572765e-06	control
chrX	141749244	141749644	ENSMUSG00000042225	Ammecr1	Alport syndrome, mental retardation, midface hypoplasia and elliptocytosis chromosomal region gene 1	Promoter (<=1kb)	78	0.767423938366846	4.08724193319252e-08	5.0249033178661e-06	treated
chr1	180978446	180978846	ENSMUSG00000062169	Cnih4	cornichon family AMPA receptor auxiliary protein 4	Promoter (<=1kb)	0	0.675064806684443	4.1660217556061695e-08	5.0651248541447196e-06	treated
chr9	96078369	96078769	ENSMUSG00000032411	Tfdp2	transcription factor Dp 2	Promoter (<=1kb)	41	0.63730727125413	4.1892010071873596e-08	5.0651248541447196e-06	treated
chr15	88635930	88636330	ENSMUSG00000034333	Zbed4	zinc finger, BED type containing 4	Promoter (<=1kb)	16	0.7890818273659721	4.28482019843146e-08	5.13827209041412e-06	treated
chr5	114238441	114238841	ENSMUSG00000029592	Usp30	ubiquitin specific peptidase 30	Promoter (<=1kb)	47	0.7113619225294221	4.4383837351185994e-08	5.27424777673221e-06	treated
chr14	20843799	20844199	ENSMUSG00000021820	Camk2g	calcium/calmodulin-dependent protein kinase II gamma	Promoter (<=1kb)	0	0.7240110801373729	4.47455690310672e-08	5.27424777673221e-06	treated
chr2	34262185	34262585	ENSMUSG00000038718	Pbx3	pre B cell leukemia homeobox 3	Promoter (<=1kb)	-128	0.7560689970192359	4.50636344560168e-08	5.27424777673221e-06	treated
chr8	122305183	122305583	ENSMUSG00000052934	Fbxo31	F-box protein 31	Promoter (<=1kb)	0	0.6519710927508061	4.547629079137469e-08	5.2803026529985e-06	treated
chr9	99021847	99022247	ENSMUSG00000032462	Pik3cb	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit beta	Promoter (<=1kb)	17	0.7293197441800471	4.739392214867849e-08	5.45963055933202e-06	treated
chr15	93172702	93173102	ENSMUSG00000036197	Gxylt1	glucoside xylosyltransferase 1	Promoter (<=1kb)	0	0.6776040726435091	4.97600639692333e-08	5.68741981148346e-06	treated
chr9	44582793	44583193	ENSMUSG00000110755	BC049987	cDNA sequence BC049987	Promoter (<=1kb)	364	-1.3312392538076798	5.05259876202328e-08	5.72068615276377e-06	control
chr15	93234452	93234852	ENSMUSG00000022634	Yaf2	YY1 associated factor 2	Promoter (<=1kb)	0	0.799881534154146	5.1002017793504897e-08	5.72068615276377e-06	treated
chr14	24295454	24295854	ENSMUSG00000021782	Dlg5	discs large MAGUK scaffold protein 5	Promoter (<=1kb)	134	0.7365829751553571	5.122418906439191e-08	5.72068615276377e-06	treated
chr12	101924119	101924519	ENSMUSG00000021189	Atxn3	ataxin 3	Promoter (<=1kb)	0	0.644378787731407	5.30445668189629e-08	5.83490235008592e-06	treated
chr2	120680467	120680867	ENSMUSG00000090100	Ttbk2	tau tubulin kinase 2	Promoter (<=1kb)	32	0.718439901328384	5.3797377794009505e-08	5.84621191870749e-06	treated
chr6	28261494	28261894	ENSMUSG00000039841	Zfp800	zinc finger protein 800	Promoter (<=1kb)	29	0.771919079120473	5.39465898171914e-08	5.84621191870749e-06	treated
chr19	36387321	36387721	ENSMUSG00000024805	Pcgf5	polycomb group ring finger 5	Promoter (<=1kb)	173	0.8279671913768779	5.44929353411284e-08	5.8619973826522696e-06	treated
chr16	91485310	91485710	ENSMUSG00000022960	Donson	downstream neighbor of SON	Promoter (<=1kb)	0	0.6676130698157839	5.49322812794994e-08	5.86612609575969e-06	treated
chr17	7050170	7050570	ENSMUSG00000052397	Ezr	ezrin	Promoter (<=1kb)	0	0.719862434863202	5.62587599960592e-08	5.96424390393005e-06	treated
chr1	175519858	175520258	ENSMUSG00000026525	Opn3	opsin 3	Promoter (<=1kb)	0	0.686057273329031	5.67977350422436e-08	5.978063767395851e-06	treated
chr5	33493107	33493507	ENSMUSG00000079562	Maea	macrophage erythroblast attacher	Promoter (<=1kb)	191	0.7369316926528672	5.85914582969653e-08	6.12280739203287e-06	treated
chr8	110595163	110595563	ENSMUSG00000031732	Phlpp2	PH domain and leucine rich repeat protein phosphatase 2	Promoter (<=1kb)	0	0.7309536946775159	6.02528546945025e-08	6.20774129704628e-06	treated
chr8	84168722	84169122	ENSMUSG00000063253	Scoc	short coiled-coil protein	Promoter (<=1kb)	169	0.717693241908938	6.383331485812769e-08	6.49664739192117e-06	treated
chr1	43866597	43866997	ENSMUSG00000057363	Uxs1	UDP-glucuronate decarboxylase 1	Promoter (<=1kb)	2	0.692330365097215	6.406383794172031e-08	6.49664739192117e-06	treated
chr15	75941258	75941658	ENSMUSG00000022568	Scrib	scribbled planar cell polarity	Promoter (<=1kb)	0	0.643488541348368	6.45077563608766e-08	6.49664739192117e-06	treated
chr2	162829268	162829668	ENSMUSG00000017868	Sgk2	serum/glucocorticoid regulated kinase 2	Promoter (<=1kb)	0	-1.2712975596011598	6.49980220631493e-08	6.49664739192117e-06	control
chr8	105122130	105122530	ENSMUSG00000096188	Cmtm4	CKLF-like MARVEL transmembrane domain containing 4	Promoter (<=1kb)	0	0.693116998416885	6.55301706210889e-08	6.49664739192117e-06	treated
chr6	47571622	47572022	ENSMUSG00000029687	Ezh2	enhancer of zeste 2 polycomb repressive complex 2 subunit	Promoter (<=1kb)	0	0.731489467635435	6.57213816817726e-08	6.49664739192117e-06	treated
chr19	14574639	14575039	ENSMUSG00000024642	Tle4	transducin-like enhancer of split 4	Promoter (<=1kb)	-62	0.935329512254491	6.742744977497539e-08	6.56742019227175e-06	treated
chr11	118367692	118368092	ENSMUSG00000033857	Engase	endo-beta-N-acetylglucosaminidase	Promoter (<=1kb)	34	0.63708314204786	6.776219717535e-08	6.56742019227175e-06	treated
chr13	46822927	46823327	ENSMUSG00000069237	Fam8a1	family with sequence similarity 8, member A1	Promoter (<=1kb)	0	0.709069783971143	6.77840361608362e-08	6.56742019227175e-06	treated
chr14	65595943	65596343	ENSMUSG00000034522	Zfp395	zinc finger protein 395	Promoter (<=1kb)	0	0.6855788037751579	6.836600441713459e-08	6.5802279251492e-06	treated
chr2	169972670	169973070	ENSMUSG00000052056	Zfp217	zinc finger protein 217	Promoter (<=1kb)	70	0.7788736833811291	6.93605137714674e-08	6.62787064696428e-06	treated
chr15	97145247	97145647	ENSMUSG00000048218	Amigo2	adhesion molecule with Ig like domain 2	Promoter (<=1kb)	-79	0.677208448461375	6.98805206131159e-08	6.62787064696428e-06	treated
chr13	107073073	107073473	ENSMUSG00000042590	Ipo11	importin 11	Promoter (<=1kb)	0	0.7421509771358709	7.022009229524701e-08	6.62787064696428e-06	treated
chr10	13841977	13842377	ENSMUSG00000015501	Hivep2	human immunodeficiency virus type I enhancer binding protein 2	Promoter (<=1kb)	0	0.69865787702633	7.158365444609361e-08	6.713261952220189e-06	treated
chr12	21467244	21467644	ENSMUSG00000076432	Ywhaq	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein theta	Promoter (<=1kb)	0	0.755925291746341	7.24113993017359e-08	6.74763548907259e-06	treated
chr13	51254835	51255235	ENSMUSG00000021395	Spin1	spindlin 1	Promoter (<=1kb)	0	0.7965525641195649	7.30407842513055e-08	6.76320679491518e-06	treated
chr19	45737657	45738057	ENSMUSG00000056209	Npm3	nucleoplasmin 3	Promoter (<=1kb)	0	0.670502275250594	7.45286409577496e-08	6.85757243529483e-06	treated
chr10	128030457	128030857	ENSMUSG00000044005	Gls2	glutaminase 2 (liver, mitochondrial)	Promoter (<=1kb)	0	0.7661841717487359	7.65159491243795e-08	6.95492790628057e-06	treated
chr3	108191329	108191729	ENSMUSG00000068747	Sort1	sortilin 1	Promoter (<=1kb)	0	0.685442513385084	7.66643282500941e-08	6.95492790628057e-06	treated
